SettingsStartDate,EndDateSpecified,SettingsNotes,VCRNum,Channels,TapeDetails,ShowNum,StartTime,EndTime,Channel,Freq,Hours,ShowName,ConcatenatedShows,EndConcatenate
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"2,4,9",,4,08:00 PM,08:30 PM,9, Daily,0.5,KCAL,"0, Local/Natl, KNBC/Leno, KCAL",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"2,4,9",,5,10:00 PM,10:30 PM,9, Daily,0.5,KCAL,"0, Local/Natl, KNBC/Leno, KCAL, KCAL",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"2,4,9",,6,07:00 AM,09:00 AM,4, Daily,2,TODAY,"0, Local/Natl, KNBC/Leno, KCAL, KCAL, TODAY",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"2,4,9",,7,06:00 PM,07:00 PM,4, Daily,1,Local/Natl,"0, Local/Natl, KNBC/Leno, KCAL, KCAL, TODAY, Local/Natl",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"2,4,9",,8,05:00 PM,06:00 PM,4, Daily,1,Local/Natl,"0, Local/Natl, KNBC/Leno, KCAL, KCAL, TODAY, Local/Natl, Local/Natl",1
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"4,7,9,11",,1,04:00 PM,07:00 PM,7, Daily,3,Local/Natl News,Local/Natl News,0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"4,7,9,11",,2,07:00 PM,08:00 PM,9, Daily,1,Tabs,"Local/Natl News, Tabs",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"4,7,9,11",,3,10:00 PM,10:30 PM,11, Daily,0.5,KTLA,"Local/Natl News, Tabs, KTLA",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"4,7,9,11",,4,11:00 PM,12:05 AM,7, Daily,1,KABC/Nightline,"Local/Natl News, Tabs, KTLA, KABC/Nightline",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"4,7,9,11",,5,07:00 AM,09:00 AM,7, Daily,2,GMA,"Local/Natl News, Tabs, KTLA, KABC/Nightline, GMA",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"4,7,9,11",,6,06:00 PM,07:00 PM,7, Sat Wkly,1,Local/Natl,"Local/Natl News, Tabs, KTLA, KABC/Nightline, GMA, Local/Natl",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"4,7,9,11",,7,05:30 PM,06:30 PM,7, Sun Wkly,1,Local/Natl,"Local/Natl News, Tabs, KTLA, KABC/Nightline, GMA, Local/Natl, Local/Natl",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"4,7,9,11",,8,08:00 PM,08:00 PM,4, Sun Wkly,1,Dateline NBC,"Local/Natl News, Tabs, KTLA, KABC/Nightline, GMA, Local/Natl, Local/Natl, Dateline NBC",1
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,1,04:30 PM,08:00 PM,CNN, Daily,3.5,CF/New/LK/IP/news,CF/New/LK/IP/news,0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,2,12:00 PM,01:00 PM,CNN, Daily,1,Talkback,"CF/New/LK/IP/news, Talkback",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,4,09:00 PM,10:30 PM,CNN, Daily,1.5,News/Burden of Proof,"CF/New/LK/IP/news, Talkback, News/Burden of Proof",0
8/1/1996,8/12/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,5,03:30 PM,05:30 PM,CNN, Sun Wkly,2,Rel Srces/News,"CF/New/LK/IP/news, Talkback, News/Burden of Proof, Rel Srces/News",1
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5",,1,04:00 PM,09:00 PM,2, Daily,5,Local/Natl,Local/Natl,0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5",,2,10:00 PM,10:30 PM,5, Daily,0.5,KTLA,"Local/Natl, KTLA",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5",,3,11:00 PM,12:00 AM,2, Daily,1,KCBS/Letterman,"Local/Natl, KTLA, KCBS/Letterman",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5",,4,07:00 AM,09:00 AM,2, Daily,2,CBS AM,"Local/Natl, KTLA, KCBS/Letterman, CBS AM",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5",,5,05:30 PM,07:00 PM,2, Sat Wkly,1.5,Local/Natl,"Local/Natl, KTLA, KCBS/Letterman, CBS AM, Local/Natl",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5",,6,05:30 PM,08:00 PM,2, Sun Wkly,2.5,Local/Natl/60 Min,"Local/Natl, KTLA, KCBS/Letterman, CBS AM, Local/Natl, Local/Natl/60 Min",1
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,1,04:00 PM,08:00 PM,4, Daily,4,Local/Natl,Local/Natl,0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,2,10:00 PM,10:30 PM,11, Daily,0.5,KTTV,"Local/Natl, KTTV",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,3,11:00 PM,12:30 AM,4, Daily,1.5,KNBC/Leno,"Local/Natl, KTTV, KNBC/Leno",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,4,07:00 AM,09:00 AM,4, Daily,2,Today,"Local/Natl, KTTV, KNBC/Leno, Today",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,5,06:00 PM,07:00 PM,4, Sat Weekly,1,Local/Natl,"Local/Natl, KTTV, KNBC/Leno, Today, Local/Natl",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,6,05:00 PM,06:00 PM,4, Sun Weekly,1,Local/Natl,"Local/Natl, KTTV, KNBC/Leno, Today, Local/Natl, Local/Natl",1
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,1,04:00 PM,08:00 PM,7, Daily,4,Local/Natl,Local/Natl,0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,2,08:00 PM,08:30 PM,9, Daily,0.5,KCAL,"Local/Natl, KCAL",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,3,10:00 PM,10:30 PM,9, Daily,0.5,KCAL,"Local/Natl, KCAL, KCAL",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,4,11:00 PM,12:07 AM,7, Daily,1,KABC/Nightline,"Local/Natl, KCAL, KCAL, KABC/Nightline",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,5,07:00 AM,09:00 AM,7, Daily,2,GMA,"Local/Natl, KCAL, KCAL, KABC/Nightline, GMA",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,6,06:00 PM,07:00 PM,7, Sat Wkly,1,Local/Natl,"Local/Natl, KCAL, KCAL, KABC/Nightline, GMA, Local/Natl",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,7,05:30 PM,06:30 PM,7, Sun Wkly,1,Local/Natl,"Local/Natl, KCAL, KCAL, KABC/Nightline, GMA, Local/Natl, Local/Natl",0
8/12/1996,8/15/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,8,07:00 PM,08:00 PM,4, Sun Wkly,,Dateline NBC,"Local/Natl, KCAL, KCAL, KABC/Nightline, GMA, Local/Natl, Local/Natl, Dateline NBC",1
8/12/1996,8/15/1996 (Rep Convention),Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,1,03:00 PM,09:30 PM,CNN, Daily,6.5,LK/IP/CR/Conv,LK/IP/CR/Conv,0
8/12/1996,8/15/1996 (Rep Convention),Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,2,12:00 PM,01:00 PM,CNN, Daily,1,Talkback,"LK/IP/CR/Conv, Talkback",0
8/12/1996,8/15/1996 (Rep Convention),Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,3,09:30 AM,10:00 AM,CNN, Daily,0.5,Burden of Proof,"LK/IP/CR/Conv, Talkback, Burden of Proof",0
8/12/1996,8/15/1996 (Rep Convention),Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,4,03:30 PM,05:30 PM,CNN, Sun Wkly,2,,"LK/IP/CR/Conv, Talkback, Burden of Proof, ",1
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,1,04:00 PM,08:00 PM,2, Daily,4,Local/Natl/Tabs,Local/Natl/Tabs,0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,2,10:00 PM,10:30 PM,5, Daily,0.5,KTLA,"Local/Natl/Tabs, KTLA",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,3,11:00 PM,12:00 AM,2, Daily,1,CBS/Letterman,"Local/Natl/Tabs, KTLA, CBS/Letterman",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,4,01:00 AM,01:30 AM,9, Daily,0.5,Rush/Limbaugh,"Local/Natl/Tabs, KTLA, CBS/Letterman, Rush/Limbaugh",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,5,07:00 AM,09:00 AM,2, Daily,2,CBS AM,"Local/Natl/Tabs, KTLA, CBS/Letterman, Rush/Limbaugh, CBS AM",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,6,01:00 AM,01:30 AM,9, Sat Wkly,0.5,Rush Limbaugh,"Local/Natl/Tabs, KTLA, CBS/Letterman, Rush/Limbaugh, CBS AM, Rush Limbaugh",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,7,05:30 PM,07:00 PM,2, Sat Wkly,1.5,Local/Natl,"Local/Natl/Tabs, KTLA, CBS/Letterman, Rush/Limbaugh, CBS AM, Rush Limbaugh, Local/Natl",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,1,"2,5,9",,8,05:30 PM,08:00 PM,2, Sun Wkly,2.5,Natl/Local/60 Min,"Local/Natl/Tabs, KTLA, CBS/Letterman, Rush/Limbaugh, CBS AM, Rush Limbaugh, Local/Natl, Natl/Local/60 Min",1
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,1,04:00 PM,08:00 PM,4, Daily,4,Local/Natl,Local/Natl,0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,2,10:00 PM,10:30 PM,4, Daily,0.5,KTTV,"Local/Natl, KTTV",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,3,11:00 PM,12:30 AM,4, Daily,1.5,KNBC/Leno,"Local/Natl, KTTV, KNBC/Leno",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,4,07:00 AM,09:00 AM,4, Daily,2,Today,"Local/Natl, KTTV, KNBC/Leno, Today",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,5,04:00 PM,05:00 PM,4, Daily,1,Local,"Local/Natl, KTTV, KNBC/Leno, Today, Local",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,6,07:00 PM,08:00 PM,4, Daily,1,Dateline NBC,"Local/Natl, KTTV, KNBC/Leno, Today, Local, Dateline NBC",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,7,06:00 PM,07:00 PM,4, Daily,1,Local/Natl,"Local/Natl, KTTV, KNBC/Leno, Today, Local, Dateline NBC, Local/Natl",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,2,"4,11",,8,04:00 PM,06:00 PM,4, Daily,2,Local/Natl,"Local/Natl, KTTV, KNBC/Leno, Today, Local, Dateline NBC, Local/Natl, Local/Natl",1
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,1,04:00 PM,07:00 PM,7, Daily,3,Local/Natl/Conv,Local/Natl/Conv,0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,2,08:00 PM,08:30 PM,9, Daily,0.5,KCAL,"Local/Natl/Conv, KCAL",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,3,10:00 PM,10:30 PM,9, Daily,0.5,KCAL,"Local/Natl/Conv, KCAL, KCAL",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,4,11:00 PM,12:07 AM,7, Daily,1,KABC/Nightline,"Local/Natl/Conv, KCAL, KCAL, KABC/Nightline",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,5,07:00 PM,08:00 PM,9, Daily,1,Tabs,"Local/Natl/Conv, KCAL, KCAL, KABC/Nightline, Tabs",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,6,07:00 AM,09:00 AM,7, Daily,2,GMA,"Local/Natl/Conv, KCAL, KCAL, KABC/Nightline, Tabs, GMA",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,7,06:00 PM,07:00 PM,7, Sat Wkly,1,Local/Natl,"Local/Natl/Conv, KCAL, KCAL, KABC/Nightline, Tabs, GMA, Local/Natl",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,3,"7,9",,8,05:30 PM,06:30 PM,7, Sun Wkly,1,Local/Natl,"Local/Natl/Conv, KCAL, KCAL, KABC/Nightline, Tabs, GMA, Local/Natl, Local/Natl",1
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,1,04:30 PM,08:00 PM,CNN, Daily,3.5,LK/IP/CR/Conv,LK/IP/CR/Conv,0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,2,12:00 PM,01:00 PM,CNN, Daily,1,Talkback,"LK/IP/CR/Conv, Talkback",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,3,09:30 AM,10:00 AM,CNN, Daily,0.5,Burden of Proof,"LK/IP/CR/Conv, Talkback, Burden of Proof",0
8/16/1996,8/23/1996,Change tapers daily; Mon-Thur: Use T-120's; on Fri use T-160's,5,CNN,,4,03:00 PM,07:30 PM,CNN,Thu 8/18,2,Perot Party Conv,"LK/IP/CR/Conv, Talkback, Burden of Proof, Perot Party Conv",1
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),1,"2,5,7,9",,1,07:00 AM,09:00 AM,2, Daily,2,CBS AM,CBS AM,0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),1,"2,5,7,9",,2,04:00 PM,09:00 PM,2, Daily 8/23,5,Local/Natl,"CBS AM, Local/Natl",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),1,"2,5,7,9",,3,10:00 PM,10:30 PM,5, Daily,0.5,KTLA,"CBS AM, Local/Natl, KTLA",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),1,"2,5,7,9",,4,11:00 PM,12:00 AM,2, Daily,1,Local/Letterman,"CBS AM, Local/Natl, KTLA, Local/Letterman",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),1,"2,5,7,9",,5,10:00 PM,11:00 PM,7, Fri Wkly,1,20/20,"CBS AM, Local/Natl, KTLA, Local/Letterman, 20/20",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),1,"2,5,7,9",,6,01:00 AM,01:30 AM,9, Sat Wkly,0.5,Rush Limbaugh,"CBS AM, Local/Natl, KTLA, Local/Letterman, 20/20, Rush Limbaugh",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),1,"2,5,7,9",,7,05:30 PM,07:00 PM,2, Sat Wkly,1.5,Natl/Local,"CBS AM, Local/Natl, KTLA, Local/Letterman, 20/20, Rush Limbaugh, Natl/Local",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),1,"2,5,7,9",,8,05:30 PM,08:00 PM,2, Sun Wkly,2.5,Natl/Local/60 Min,"CBS AM, Local/Natl, KTLA, Local/Letterman, 20/20, Rush Limbaugh, Natl/Local, Natl/Local/60 Min",1
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),2,"4,11",T-160 Daily,1,07:00 AM,09:00 AM,4,Daily,2,TODAY,TODAY,0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),2,"4,11",T-160 Daily,2,04:00 PM,09:00 PM,4,Daily,5,Local/Natl,"TODAY, Local/Natl",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),2,"4,11",T-160 Daily,3,10:00 PM,10:30 PM,9,Daily,0.5,KTTV,"TODAY, Local/Natl, KTTV",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),2,"4,11",T-160 Daily,4,04:00 PM,08:00 PM,9,Daily,4,,"TODAY, Local/Natl, KTTV, ",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),2,"4,11",T-160 Daily,5,11:00 PM,12:00 AM,4,Daily,1,Local/Leno,"TODAY, Local/Natl, KTTV, , Local/Leno",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),2,"4,11",T-160 Daily,6,06:00 PM,07:00 PM,4, Daily,1,Local/Natl,"TODAY, Local/Natl, KTTV, , Local/Leno, Local/Natl",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),2,"4,11",T-160 Daily,7,04:00 PM,06:00 PM,4, Daily,2,Local/Natl,"TODAY, Local/Natl, KTTV, , Local/Leno, Local/Natl, Local/Natl",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),2,"4,11",T-160 Daily,8,07:00 PM,08:00 PM,4, Daily,1,Dateline NBC,"TODAY, Local/Natl, KTTV, , Local/Leno, Local/Natl, Local/Natl, Dateline NBC",1
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),3,"7,9",,1,07:00 AM,09:00 AM,7, Daily,2,GMA,GMA,0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),3,"7,9",,2,04:00 PM,08:00 PM,7, Daily,4,Local/Natl,"GMA, Local/Natl",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),3,"7,9",,3,08:00 PM,08:30 PM,9, Daily,0.5,KCAL,"GMA, Local/Natl, KCAL",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),3,"7,9",,4,10:00 PM,10:30 PM,9, Daily,0.5,KCAL,"GMA, Local/Natl, KCAL, KCAL",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),3,"7,9",,5,11:00 PM,12:07 AM,7, Daily,1,Nightline,"GMA, Local/Natl, KCAL, KCAL, Nightline",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),3,"7,9",,6,04:00 PM,07:00 PM,7,Tue 8/23,3,Local/Natl,"GMA, Local/Natl, KCAL, KCAL, Nightline, Local/Natl",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),3,"7,9",,7,06:00 PM,07:00 PM,7, Sat Wkly,1,Local/Natl,"GMA, Local/Natl, KCAL, KCAL, Nightline, Local/Natl, Local/Natl",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),3,"7,9",,8,05:30 PM,06:30 PM,7, Sun Wkly,1,Local/Natl,"GMA, Local/Natl, KCAL, KCAL, Nightline, Local/Natl, Local/Natl, Local/Natl",1
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),5,CNN,,1,03:00 PM,09:30 PM,CNN, Daily,6.5,LK/IP/CR/Conv,LK/IP/CR/Conv,0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),5,CNN,,2,12:00 PM,01:00 PM,CNN, Daily,1,Talkback,"LK/IP/CR/Conv, Talkback",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),5,CNN,,3,09:30 AM,10:00 AM,CNN, Daily,0.5,Burden of Proof,"LK/IP/CR/Conv, Talkback, Burden of Proof",0
8/23/1996,9/1/1996,Set on Fri 8/23/96-9/1/96 (Dem Conv),5,CNN,,4,03:00 PM,06:00 PM,CNN,Sun 8/25,3,Rel Srces/Cap Gng,"LK/IP/CR/Conv, Talkback, Burden of Proof, Rel Srces/Cap Gng",1
8/23/1996,9/1/1996 (Dem Conv),"Change tapes on Mon, Wed & Fri; Mon & Wed: Use T-120, On Fri Use T-160",4,"2,4,7,9,11,28",,1,11:00 PM,12:00 AM,28, Daily 8/26/1996,1,Charlie Rose,Charlie Rose,0
8/23/1996,9/1/1996 (Dem Conv),"Change tapes on Mon, Wed & Fri; Mon & Wed: Use T-120, On Fri Use T-160",4,"2,4,7,9,11,28",,2,07:00 PM,8:00 PM,9, Daily 8/23/1996,1,Tabs,"Charlie Rose, Tabs",0
8/23/1996,9/1/1996 (Dem Conv),"Change tapes on Mon, Wed & Fri; Mon & Wed: Use T-120, On Fri Use T-160",4,"2,4,7,9,11,28",,3,01:00 AM,01:30 AM,9, Daily 8/27/1996,0.5,Rush Limbaugh,"Charlie Rose, Tabs, Rush Limbaugh",0
8/23/1996,9/1/1996 (Dem Conv),"Change tapes on Mon, Wed & Fri; Mon & Wed: Use T-120, On Fri Use T-160",4,"2,4,7,9,11,28",,4,07:00 AM,08:00 AM,4, Sun Wkly,1,MTP,"Charlie Rose, Tabs, Rush Limbaugh, MTP",0
8/23/1996,9/1/1996 (Dem Conv),"Change tapes on Mon, Wed & Fri; Mon & Wed: Use T-120, On Fri Use T-160",4,"2,4,7,9,11,28",,5,09:00 AM,09:30 AM,2, Sun Wkly,0.5,FTN,"Charlie Rose, Tabs, Rush Limbaugh, MTP, FTN",0
8/23/1996,9/1/1996 (Dem Conv),"Change tapes on Mon, Wed & Fri; Mon & Wed: Use T-120, On Fri Use T-160",4,"2,4,7,9,11,28",,6,10:00 AM,11:00 AM,7, Sun Wkly,1,This Week,"Charlie Rose, Tabs, Rush Limbaugh, MTP, FTN, This Week",0
