Counter,Row,ColumnCounter,Video,Filename,"What is the start time of the commercial? (Remember to pause the video at the black frame right before the commercial starts, and then click on Share and click the ""start at"" button before copying and pasting the URL here)","What is the END time of the commercial? (Remember to pause the video at the black frame right after the commercial ends, and then click on Share and click the ""start at"" button before copying and pasting the URL here)",Who is the ad's sponsor (or the company who makes the product in the ad)?,"What is the product being advertised, if any?",Is the Commercial Particularly Interesting/Weird/Cool?,Blank,Date,Sponsor--Product,StartTime,EndTime,Time,Interesting,Formula
11,1,61,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1311,https://youtu.be/Hh0PsOJW2j4?t=1341,Tiangus,groceries ,No,0,1989 08 04,Tiangus--groceries ,1311,1341,30,,"ffmpeg -ss 1310 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""Tiangus--groceries __ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1311s"".mp4"
12,1,67,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1341,https://youtu.be/Hh0PsOJW2j4?t=1371,McDonalds,fast food,Yes,0,1989 08 04,McDonalds--fast food,1341,1371,30,Int,"ffmpeg -ss 1340 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""McDonalds--fast food_Int_ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1341s"".mp4"
13,1,73,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1664,https://youtu.be/Hh0PsOJW2j4?t=1695,Toyota,cars,No,0,1989 08 04,Toyota--cars,1664,1695,31,,"ffmpeg -ss 1663 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 34 ""Toyota--cars__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1664s"".mp4"
14,1,79,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1695,https://youtu.be/Hh0PsOJW2j4?t=1725,Los Defensores,law firm,No,0,1989 08 04,Los Defensores--law firm,1695,1725,30,,"ffmpeg -ss 1694 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""Los Defensores--law firm__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1695s"".mp4"
15,1,85,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1725,https://youtu.be/Hh0PsOJW2j4?t=1734,Midas,idk,No,0,1989 08 04,Midas--idk,1725,1734,9,,"ffmpeg -ss 1724 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 12 ""Midas--idk__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1725s"".mp4"
16,1,91,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1735,https://youtu.be/Hh0PsOJW2j4?t=1765,idk,Church,No,0,1989 08 04,idk--Church,1735,1765,30,,"ffmpeg -ss 1734 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""idk--Church__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1735s"".mp4"
17,1,97,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1765,https://youtu.be/Hh0PsOJW2j4?t=1785,KMex LA,Tv show,No,0,1989 08 04,KMex LA--Tv show,1765,1785,20,,"ffmpeg -ss 1764 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 23 ""KMex LA--Tv show__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1765s"".mp4"
18,1,103,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=1785,https://youtu.be/Hh0PsOJW2j4?t=1795,Kmex LA,idk,No,0,1989 08 04,Kmex LA--idk,1785,1795,10,,"ffmpeg -ss 1784 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 13 ""Kmex LA--idk__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_1785s"".mp4"
19,1,109,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=2064,https://youtu.be/Hh0PsOJW2j4?t=2094,California Lottery,scratchers,No,0,1989 08 04,California Lottery--scratchers,2064,2094,30,,"ffmpeg -ss 2063 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""California Lottery--scratchers__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_2064s"".mp4"
20,1,115,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=2094,https://youtu.be/Hh0PsOJW2j4?t=2154,Crystal Promotions,idk,No,0,1989 08 04,Crystal Promotions--idk,2094,2154,60,,"ffmpeg -ss 2093 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 63 ""Crystal Promotions--idk__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_2094s"".mp4"
21,1,121,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=2155,https://youtu.be/Hh0PsOJW2j4?t=2185,Carebella,Shopping center ,No,0,1989 08 04,Carebella--Shopping center ,2155,2185,30,,"ffmpeg -ss 2154 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""Carebella--Shopping center __ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_2155s"".mp4"
22,1,127,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=2682,https://youtu.be/Hh0PsOJW2j4?t=2712,pacific Bell,idk,No,0,1989 08 04,pacific Bell--idk,2682,2712,30,,"ffmpeg -ss 2681 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""pacific Bell--idk__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_2682s"".mp4"
23,1,133,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=2712,https://youtu.be/Hh0PsOJW2j4?t=2742,Standards Brand,Paint,No,0,1989 08 04,Standards Brand--Paint,2712,2742,30,,"ffmpeg -ss 2711 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""Standards Brand--Paint__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_2712s"".mp4"
24,1,139,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=2742,https://youtu.be/Hh0PsOJW2j4?t=2772,Chevrolet,cars,No,0,1989 08 04,Chevrolet--cars,2742,2772,30,,"ffmpeg -ss 2741 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""Chevrolet--cars__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_2742s"".mp4"
25,1,145,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=2772,https://youtu.be/Hh0PsOJW2j4?t=2802,KFC,chicken,No,0,1989 08 04,KFC--chicken,2772,2802,30,,"ffmpeg -ss 2771 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""KFC--chicken__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_2772s"".mp4"
26,1,151,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=3137,https://youtu.be/Hh0PsOJW2j4?t=3167,McDonalds,fast food,No,0,1989 08 04,McDonalds--fast food,3137,3167,30,,"ffmpeg -ss 3136 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""McDonalds--fast food__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_3137s"".mp4"
27,1,157,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=3169,https://youtu.be/Hh0PsOJW2j4?t=3198,Chevrolet,car,No,0,1989 08 04,Chevrolet--car,3169,3198,29,,"ffmpeg -ss 3168 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 32 ""Chevrolet--car__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_3169s"".mp4"
28,1,163,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=3198,https://youtu.be/Hh0PsOJW2j4?t=3227,Kmex La,TV show,No,0,1989 08 04,Kmex La--TV show,3198,3227,29,,"ffmpeg -ss 3197 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 32 ""Kmex La--TV show__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_3198s"".mp4"
29,1,169,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=3227,https://youtu.be/Hh0PsOJW2j4?t=3257,Universion,Nascar race ,No,0,1989 08 04,Universion--Nascar race ,3227,3257,30,,"ffmpeg -ss 3226 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""Universion--Nascar race __ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_3227s"".mp4"
30,1,175,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=4061,https://youtu.be/Hh0PsOJW2j4?t=4121,Mas,Magazine ,No,0,1989 08 04,Mas--Magazine ,4061,4121,60,,"ffmpeg -ss 4060 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 63 ""Mas--Magazine __ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_4061s"".mp4"
31,1,181,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=4122,https://youtu.be/Hh0PsOJW2j4?t=4151,Levitz,Furniture,Yes,0,1989 08 04,Levitz--Furniture,4122,4151,29,Int,"ffmpeg -ss 4121 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 32 ""Levitz--Furniture_Int_ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_4122s"".mp4"
32,1,187,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,https://youtu.be/Hh0PsOJW2j4?t=4152,https://youtu.be/Hh0PsOJW2j4?t=4182,carabello,Shopping Center,No,0,1989 08 04,carabello--Shopping Center,4152,4182,30,,"ffmpeg -ss 4151 -i ""1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM"".mp4 -c copy -t 33 ""carabello--Shopping Center__ zz_1989 08 04_1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM_4152s"".mp4"
33,1,193,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
34,1,199,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
35,1,205,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
36,1,211,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
37,1,217,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
38,1,223,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
39,1,229,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
40,1,235,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
41,1,241,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
42,1,247,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
43,1,253,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
44,1,259,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
45,1,265,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
46,1,271,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
47,1,277,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
48,1,283,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
49,1,289,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
50,1,295,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
51,1,301,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
52,1,307,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
53,1,313,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
54,1,319,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
55,1,325,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
56,1,331,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
57,1,337,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
58,1,343,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
59,1,349,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
60,1,355,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
61,1,361,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
62,1,367,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
63,1,373,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
64,1,379,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
65,1,385,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
66,1,391,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
67,1,397,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
68,1,403,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
69,1,409,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
70,1,415,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
71,1,421,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
72,1,427,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
73,1,433,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
74,1,439,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
75,1,445,https://youtu.be/Hh0PsOJW2j4,1989 08 04 0000 US NA024556 V3 VHS24 MB2 H24 JM,,,,,,1,1989 08 04,--,#VALUE!,#VALUE!,#VALUE!,,
